spare_part_sk,part_id,part_name,part_category,part_uom,standard_unit_cost_inr,minimum_stock_quantity,reorder_quantity,primary_supplier_sk,status,effective_from,effective_to,is_current
"1","PART-SPINDLE-BRG42","Spindle Bearing 42","BEARING","unit","18500","4","10","10","ACTIVE","2024-01-01","","true"
"2","PART-SPINDLE-BRG55","Spindle Bearing 55","BEARING","unit","22400","3","8","1","ACTIVE","2024-01-01","","true"
"3","PART-HYD-SEAL12","Hydraulic Seal Kit 12","SEAL_KIT","unit","4200","8","20","13","ACTIVE","2024-01-01","","true"
"4","PART-HYD-PUMP21","Hydraulic Pump 21","HYDRAULIC","unit","38500","2","5","2","ACTIVE","2024-01-01","","true"
"5","PART-ROBOT-JOINT7","Robot Joint Assembly 7","ROBOTICS","unit","47200","2","4","3","ACTIVE","2024-01-01","","true"
"6","PART-ROBOT-MOTOR9","Robot Motor 9","MOTOR","unit","32800","3","6","3","ACTIVE","2024-01-01","","true"
"7","PART-CON-BELT20","Conveyor Belt 20m","CONVEYOR","meter","950","50","150","4","ACTIVE","2024-01-01","","true"
"8","PART-CON-MOTOR11","Conveyor Motor 11","MOTOR","unit","21400","3","8","12","ACTIVE","2024-01-01","","true"
"9","PART-CMP-BRG60","Compressor Bearing 60","BEARING","unit","12600","4","10","5","ACTIVE","2024-01-01","","true"
"10","PART-CMP-VALVE9","Compressor Valve 9","VALVE","unit","6800","6","15","10","ACTIVE","2024-01-01","","true"
"11","PART-FRN-THERMO3","Furnace Thermocouple 3","INSTRUMENT","unit","5600","6","20","6","ACTIVE","2024-01-01","","true"
"12","PART-FRN-BURNER4","Furnace Burner 4","THERMAL","unit","18500","3","8","6","ACTIVE","2024-01-01","","true"
"13","PART-INS-CAL01","Inspection Calibration Kit","CALIBRATION","unit","7200","2","5","7","ACTIVE","2024-01-01","","true"
"14","PART-INS-SENSOR2","Inspection Sensor 2","SENSOR","unit","11800","3","8","11","ACTIVE","2024-01-01","","true"
"15","PART-PKG-MOTOR5","Packaging Motor 5","MOTOR","unit","15400","3","8","8","ACTIVE","2024-01-01","","true"
"16","PART-PKG-BELT8","Packaging Belt 8","CONVEYOR","meter","780","40","120","9","ACTIVE","2024-01-01","","true"
"17","PART-PAL-JOINT4","Palletizer Joint 4","ROBOTICS","unit","28900","2","4","9","ACTIVE","2024-01-01","","true"
"18","PART-PAL-MOTOR6","Palletizer Motor 6","MOTOR","unit","24100","3","8","9","ACTIVE","2024-01-01","","true"
"19","PART-GENERIC-BRG1","Standard Bearing 1","BEARING","unit","4200","10","30","10","ACTIVE","2024-01-01","","true"
"20","PART-GENERIC-BRG2","Standard Bearing 2","BEARING","unit","6100","8","20","10","ACTIVE","2024-01-01","","true"
"21","PART-ELEC-RELAY1","Industrial Relay 1","ELECTRICAL","unit","1850","20","60","12","ACTIVE","2024-01-01","","true"
"22","PART-ELEC-DRIVE2","Motor Drive 2","ELECTRICAL","unit","16800","5","15","12","ACTIVE","2024-01-01","","true"
"23","PART-SENSOR-TEMP1","Temperature Sensor 1","SENSOR","unit","3100","15","40","11","ACTIVE","2024-01-01","","true"
"24","PART-SENSOR-VIB1","Vibration Sensor 1","SENSOR","unit","4600","12","30","11","ACTIVE","2024-01-01","","true"
"25","PART-SENSOR-PRES1","Pressure Sensor 1","SENSOR","unit","5200","10","25","11","ACTIVE","2024-01-01","","true"
"26","PART-LUBE-001","Industrial Lubricant","LUBRICANT","litre","640","100","300","14","ACTIVE","2024-01-01","","true"
"27","PART-LUBE-002","High Temperature Lubricant","LUBRICANT","litre","920","80","250","14","ACTIVE","2024-01-01","","true"
"28","PART-FST-BOLT8","Industrial Bolt M8","FASTENER","unit","18","500","2000","15","ACTIVE","2024-01-01","","true"
"29","PART-FST-NUT8","Industrial Nut M8","FASTENER","unit","12","500","2000","15","ACTIVE","2024-01-01","","true"
"30","PART-ELEC-CABLE1","Industrial Cable","ELECTRICAL","meter","220","300","900","12","ACTIVE","2024-01-01","","true"
"31","PART-AIR-FILTER2","Compressor Air Filter","FILTER","unit","1850","20","60","5","ACTIVE","2024-01-01","","true"
"32","PART-OIL-FILTER3","Hydraulic Oil Filter","FILTER","unit","1250","30","90","13","ACTIVE","2024-01-01","","true"
"33","PART-THERM-INS1","Thermal Insulation Kit","THERMAL","unit","8800","4","12","6","ACTIVE","2024-01-01","","true"
"34","PART-VLV-SOL1","Solenoid Valve","VALVE","unit","3650","10","30","13","ACTIVE","2024-01-01","","true"
"35","PART-PNEU-FIT1","Pneumatic Fitting Kit","PNEUMATIC","unit","2400","12","40","16","ACTIVE","2024-01-01","","true"
"36","PART-GEAR-SET1","Precision Gear Set","MECHANICAL","unit","19200","2","5","14","ACTIVE","2024-01-01","","true"
