supplier_sk,supplier_id,supplier_name,supplier_type,country,lead_time_days,status,effective_from,effective_to,is_current
"1","SUP-001","Vertex Industrial Supply","OEM","India","7","ACTIVE","2023-01-01","","true"
"2","SUP-002","HydraMax Components","OEM","India","14","ACTIVE","2023-01-01","","true"
"3","SUP-003","MechaMotion Systems","OEM","Japan","21","ACTIVE","2023-01-01","","true"
"4","SUP-004","MoveLine Technologies","OEM","Germany","18","ACTIVE","2023-01-01","","true"
"5","SUP-005","AeroFlow Engineering","OEM","India","10","ACTIVE","2023-01-01","","true"
"6","SUP-006","ThermoForge Systems","OEM","Germany","28","ACTIVE","2023-01-01","","true"
"7","SUP-007","QualiSense Instruments","OEM","USA","21","ACTIVE","2023-01-01","","true"
"8","SUP-008","PackPro Automation","OEM","India","14","ACTIVE","2023-01-01","","true"
"9","SUP-009","StackTech Robotics","OEM","Japan","24","ACTIVE","2023-01-01","","true"
"10","SUP-010","Industrial Bearings Hub","AUTHORIZED_DISTRIBUTOR","India","5","ACTIVE","2023-01-01","","true"
"11","SUP-011","Precision Sensors India","AUTHORIZED_DISTRIBUTOR","India","6","ACTIVE","2023-01-01","","true"
"12","SUP-012","PowerDrive Electricals","AUTHORIZED_DISTRIBUTOR","India","8","ACTIVE","2023-01-01","","true"
"13","SUP-013","Metro Hydraulics","LOCAL_VENDOR","India","4","ACTIVE","2023-01-01","","true"
"14","SUP-014","South Zone Engineering","LOCAL_VENDOR","India","3","ACTIVE","2023-01-01","","true"
"15","SUP-015","National Fasteners","LOCAL_VENDOR","India","5","ACTIVE","2023-01-01","","true"
"16","SUP-016","Allied Raw Materials","RAW_MATERIAL_SUPPLIER","India","12","ACTIVE","2023-01-01","","true"
"17","SUP-017","EnergyGrid Services","UTILITY_PROVIDER","India","2","ACTIVE","2023-01-01","","true"
"18","SUP-018","Plant Utilities Co","UTILITY_PROVIDER","India","2","ACTIVE","2023-01-01","","true"
