machine_sk,machine_id,line_sk,machine_model_sk,machine_type_code,machine_sequence,serial_number,installation_date,rated_capacity,capacity_uom,operating_temperature_min_c,operating_temperature_max_c,criticality,status,effective_from,effective_to,is_current
"1","CHN-L01-CNC01","","1","CNC","1","SN-CHN-CNC-01-0001","2023-01-02","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"2","CHN-L01-CNC02","","2","CNC","2","SN-CHN-CNC-02-0002","2022-08-14","150","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"3","CHN-L01-CNC03","","1","CNC","3","SN-CHN-CNC-03-0003","2021-03-01","180","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"4","CHN-L01-CNC04","","2","CNC","4","SN-CHN-CNC-04-0004","2020-10-13","120","unit_min","10","85","HIGH","ACTIVE","2022-01-01","","true"
"5","CHN-L01-HPR01","","3","HPR","1","SN-CHN-HPR-01-0005","2019-05-21","80","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"6","CHN-L01-HPR02","","4","HPR","2","SN-CHN-HPR-02-0006","2023-12-08","100","unit_min","15","90","HIGH","ACTIVE","2022-01-01","","true"
"7","CHN-L01-ROB01","","5","ROB","1","SN-CHN-ROB-01-0007","2022-07-18","50","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"8","CHN-L01-ROB02","","6","ROB","2","SN-CHN-ROB-02-0008","2021-02-05","70","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"9","CHN-L01-ROB03","","5","ROB","3","SN-CHN-ROB-03-0009","2020-09-17","90","unit_min","20","85","MEDIUM","ACTIVE","2022-01-01","","true"
"10","CHN-L01-CON01","","7","CON","1","SN-CHN-CON-01-0010","2019-04-01","80","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"11","CHN-L01-CON02","","8","CON","2","SN-CHN-CON-02-0011","2023-11-13","115","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"12","CHN-L01-CON03","","7","CON","3","SN-CHN-CON-03-0012","2022-06-25","150","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
"13","CHN-L01-CMP01","","9","CMP","1","SN-CHN-CMP-01-0013","2021-01-09","110","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"14","CHN-L01-CMP02","","10","CMP","2","SN-CHN-CMP-02-0014","2020-08-21","75","kW","15","85","MEDIUM","ACTIVE","2022-01-01","","true"
"15","CHN-L01-FRN01","","11","FRN","1","SN-CHN-FRN-01-0015","2019-03-06","1200","degC","600","1250","HIGH","ACTIVE","2022-01-01","","true"
"16","CHN-L01-INS01","","13","INS","1","SN-CHN-INS-01-0016","2023-10-17","100","unit_min","15","55","LOW","ACTIVE","2022-01-01","","true"
"17","CHN-L01-PKG01","","15","PKG","1","SN-CHN-PKG-01-0017","2022-05-03","50","unit_min","15","75","LOW","ACTIVE","2022-01-01","","true"
