machine_id,plant_id,line_id,production_area_id,machine_type,machine_type_code,machine_sequence,operating_state,criticality
CHN-L01-CNC01,PLT-CHN-01,CHN-L01,CHN-PA01,CNC,CNC,01,OFFLINE,HIGH
CHN-L01-CNC02,PLT-CHN-01,CHN-L01,CHN-PA01,CNC,CNC,02,OFFLINE,HIGH
CHN-L01-CNC03,PLT-CHN-01,CHN-L01,CHN-PA01,CNC,CNC,03,OFFLINE,HIGH
CHN-L01-CNC04,PLT-CHN-01,CHN-L01,CHN-PA01,CNC,CNC,04,OFFLINE,HIGH
CHN-L01-HPR01,PLT-CHN-01,CHN-L01,CHN-PA01,Hydraulic Press,HPR,01,OFFLINE,HIGH
CHN-L01-HPR02,PLT-CHN-01,CHN-L01,CHN-PA01,Hydraulic Press,HPR,02,OFFLINE,HIGH
CHN-L01-ROB01,PLT-CHN-01,CHN-L01,CHN-PA01,Industrial Robot,ROB,01,OFFLINE,MEDIUM
CHN-L01-ROB02,PLT-CHN-01,CHN-L01,CHN-PA01,Industrial Robot,ROB,02,OFFLINE,MEDIUM
CHN-L01-ROB03,PLT-CHN-01,CHN-L01,CHN-PA01,Industrial Robot,ROB,03,OFFLINE,MEDIUM
CHN-L01-CON01,PLT-CHN-01,CHN-L01,CHN-PA01,Conveyor,CON,01,OFFLINE,LOW
CHN-L01-CON02,PLT-CHN-01,CHN-L01,CHN-PA01,Conveyor,CON,02,OFFLINE,LOW
CHN-L01-CON03,PLT-CHN-01,CHN-L01,CHN-PA01,Conveyor,CON,03,OFFLINE,LOW
CHN-L01-CMP01,PLT-CHN-01,CHN-L01,CHN-PA01,Compressor,CMP,01,OFFLINE,MEDIUM
CHN-L01-CMP02,PLT-CHN-01,CHN-L01,CHN-PA01,Compressor,CMP,02,OFFLINE,MEDIUM
CHN-L01-FRN01,PLT-CHN-01,CHN-L01,CHN-PA01,Furnace,FRN,01,OFFLINE,HIGH
CHN-L01-INS01,PLT-CHN-01,CHN-L01,CHN-PA01,Inspection,INS,01,OFFLINE,LOW
CHN-L01-PKG01,PLT-CHN-01,CHN-L01,CHN-PA01,Packaging,PKG,01,OFFLINE,LOW
CHN-L01-PAL01,PLT-CHN-01,CHN-L01,CHN-PA01,Palletizer,PAL,01,OFFLINE,LOW
CHN-L02-CNC01,PLT-CHN-01,CHN-L02,CHN-PA02,CNC,CNC,01,OFFLINE,HIGH
CHN-L02-CNC02,PLT-CHN-01,CHN-L02,CHN-PA02,CNC,CNC,02,OFFLINE,HIGH
CHN-L02-CNC03,PLT-CHN-01,CHN-L02,CHN-PA02,CNC,CNC,03,OFFLINE,HIGH
CHN-L02-CNC04,PLT-CHN-01,CHN-L02,CHN-PA02,CNC,CNC,04,OFFLINE,HIGH
CHN-L02-HPR01,PLT-CHN-01,CHN-L02,CHN-PA02,Hydraulic Press,HPR,01,OFFLINE,HIGH
CHN-L02-HPR02,PLT-CHN-01,CHN-L02,CHN-PA02,Hydraulic Press,HPR,02,OFFLINE,HIGH
CHN-L02-ROB01,PLT-CHN-01,CHN-L02,CHN-PA02,Industrial Robot,ROB,01,OFFLINE,MEDIUM
CHN-L02-ROB02,PLT-CHN-01,CHN-L02,CHN-PA02,Industrial Robot,ROB,02,OFFLINE,MEDIUM
CHN-L02-ROB03,PLT-CHN-01,CHN-L02,CHN-PA02,Industrial Robot,ROB,03,OFFLINE,MEDIUM
CHN-L02-CON01,PLT-CHN-01,CHN-L02,CHN-PA02,Conveyor,CON,01,OFFLINE,LOW
CHN-L02-CON02,PLT-CHN-01,CHN-L02,CHN-PA02,Conveyor,CON,02,OFFLINE,LOW
CHN-L02-CON03,PLT-CHN-01,CHN-L02,CHN-PA02,Conveyor,CON,03,OFFLINE,LOW
CHN-L02-CMP01,PLT-CHN-01,CHN-L02,CHN-PA02,Compressor,CMP,01,OFFLINE,MEDIUM
CHN-L02-CMP02,PLT-CHN-01,CHN-L02,CHN-PA02,Compressor,CMP,02,OFFLINE,MEDIUM
CHN-L02-FRN01,PLT-CHN-01,CHN-L02,CHN-PA02,Furnace,FRN,01,OFFLINE,HIGH
CHN-L02-INS01,PLT-CHN-01,CHN-L02,CHN-PA02,Inspection,INS,01,OFFLINE,LOW
CHN-L02-PKG01,PLT-CHN-01,CHN-L02,CHN-PA02,Packaging,PKG,01,OFFLINE,LOW
CHN-L02-PAL01,PLT-CHN-01,CHN-L02,CHN-PA02,Palletizer,PAL,01,OFFLINE,LOW
CHN-L03-CNC01,PLT-CHN-01,CHN-L03,CHN-PA03,CNC,CNC,01,OFFLINE,HIGH
CHN-L03-CNC02,PLT-CHN-01,CHN-L03,CHN-PA03,CNC,CNC,02,OFFLINE,HIGH
CHN-L03-CNC03,PLT-CHN-01,CHN-L03,CHN-PA03,CNC,CNC,03,OFFLINE,HIGH
CHN-L03-CNC04,PLT-CHN-01,CHN-L03,CHN-PA03,CNC,CNC,04,OFFLINE,HIGH
CHN-L03-HPR01,PLT-CHN-01,CHN-L03,CHN-PA03,Hydraulic Press,HPR,01,OFFLINE,HIGH
CHN-L03-HPR02,PLT-CHN-01,CHN-L03,CHN-PA03,Hydraulic Press,HPR,02,OFFLINE,HIGH
CHN-L03-ROB01,PLT-CHN-01,CHN-L03,CHN-PA03,Industrial Robot,ROB,01,OFFLINE,MEDIUM
CHN-L03-ROB02,PLT-CHN-01,CHN-L03,CHN-PA03,Industrial Robot,ROB,02,OFFLINE,MEDIUM
CHN-L03-ROB03,PLT-CHN-01,CHN-L03,CHN-PA03,Industrial Robot,ROB,03,OFFLINE,MEDIUM
CHN-L03-CON01,PLT-CHN-01,CHN-L03,CHN-PA03,Conveyor,CON,01,OFFLINE,LOW
CHN-L03-CON02,PLT-CHN-01,CHN-L03,CHN-PA03,Conveyor,CON,02,OFFLINE,LOW
CHN-L03-CON03,PLT-CHN-01,CHN-L03,CHN-PA03,Conveyor,CON,03,OFFLINE,LOW
CHN-L03-CMP01,PLT-CHN-01,CHN-L03,CHN-PA03,Compressor,CMP,01,OFFLINE,MEDIUM
CHN-L03-CMP02,PLT-CHN-01,CHN-L03,CHN-PA03,Compressor,CMP,02,OFFLINE,MEDIUM
CHN-L03-FRN01,PLT-CHN-01,CHN-L03,CHN-PA03,Furnace,FRN,01,OFFLINE,HIGH
CHN-L03-INS01,PLT-CHN-01,CHN-L03,CHN-PA03,Inspection,INS,01,OFFLINE,LOW
CHN-L03-PKG01,PLT-CHN-01,CHN-L03,CHN-PA03,Packaging,PKG,01,OFFLINE,LOW
CHN-L03-PAL01,PLT-CHN-01,CHN-L03,CHN-PA03,Palletizer,PAL,01,OFFLINE,LOW
CHN-L04-CNC01,PLT-CHN-01,CHN-L04,CHN-PA04,CNC,CNC,01,OFFLINE,HIGH
CHN-L04-CNC02,PLT-CHN-01,CHN-L04,CHN-PA04,CNC,CNC,02,OFFLINE,HIGH
CHN-L04-CNC03,PLT-CHN-01,CHN-L04,CHN-PA04,CNC,CNC,03,OFFLINE,HIGH
CHN-L04-CNC04,PLT-CHN-01,CHN-L04,CHN-PA04,CNC,CNC,04,OFFLINE,HIGH
CHN-L04-HPR01,PLT-CHN-01,CHN-L04,CHN-PA04,Hydraulic Press,HPR,01,OFFLINE,HIGH
CHN-L04-HPR02,PLT-CHN-01,CHN-L04,CHN-PA04,Hydraulic Press,HPR,02,OFFLINE,HIGH
CHN-L04-ROB01,PLT-CHN-01,CHN-L04,CHN-PA04,Industrial Robot,ROB,01,OFFLINE,MEDIUM
