production_area_sk,production_area_id,plant_sk,area_name,status,effective_from,effective_to,is_current
"1","CHN-PA01","1","Production Area A","ACTIVE","2022-01-01","","true"
"2","CHN-PA02","1","Production Area B","ACTIVE","2022-01-01","","true"
"3","CHN-PA03","1","Production Area C","ACTIVE","2022-01-01","","true"
"4","CHN-PA04","1","Production Area D","ACTIVE","2022-01-01","","true"
"5","CHN-PA05","1","Production Area E","ACTIVE","2022-01-01","","true"
"6","PUN-PA01","2","Production Area A","ACTIVE","2022-01-01","","true"
"7","PUN-PA02","2","Production Area B","ACTIVE","2022-01-01","","true"
"8","PUN-PA03","2","Production Area C","ACTIVE","2022-01-01","","true"
"9","PUN-PA04","2","Production Area D","ACTIVE","2022-01-01","","true"
"10","PUN-PA05","2","Production Area E","ACTIVE","2022-01-01","","true"
"11","CBE-PA01","3","Production Area A","ACTIVE","2022-01-01","","true"
"12","CBE-PA02","3","Production Area B","ACTIVE","2022-01-01","","true"
"13","CBE-PA03","3","Production Area C","ACTIVE","2022-01-01","","true"
"14","CBE-PA04","3","Production Area D","ACTIVE","2022-01-01","","true"
"15","CBE-PA05","3","Production Area E","ACTIVE","2022-01-01","","true"
