line_sk,line_id,plant_sk,production_area_sk,line_name,line_type,status,effective_from,effective_to,is_current
"1","CHN-L01","1","1","Chennai Production Line 1","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"2","CHN-L02","1","2","Chennai Production Line 2","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"3","CHN-L03","1","3","Chennai Production Line 3","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"4","CHN-L04","1","4","Chennai Production Line 4","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"5","CHN-L05","1","5","Chennai Production Line 5","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"6","PUN-L01","2","6","Pune Production Line 1","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"7","PUN-L02","2","7","Pune Production Line 2","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"8","PUN-L03","2","8","Pune Production Line 3","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"9","PUN-L04","2","9","Pune Production Line 4","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"10","PUN-L05","2","10","Pune Production Line 5","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"11","CBE-L01","3","11","Coimbatore Production Line 1","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"12","CBE-L02","3","12","Coimbatore Production Line 2","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"13","CBE-L03","3","13","Coimbatore Production Line 3","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"14","CBE-L04","3","14","Coimbatore Production Line 4","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
"15","CBE-L05","3","15","Coimbatore Production Line 5","Discrete Manufacturing","ACTIVE","2022-01-01","","true"
