failure_mode_sk,failure_mode_code,failure_category,failure_name,machine_type_code,severity_default,status
"1","CNC-BRG","MECHANICAL","Spindle Bearing Degradation","CNC","HIGH","ACTIVE"
"2","CNC-OVH","THERMAL","CNC Overheating","CNC","HIGH","ACTIVE"
"3","CNC-TOOL","PROCESS","Cutting Tool Wear","CNC","MEDIUM","ACTIVE"
"4","CNC-IMB","MECHANICAL","Spindle Imbalance","CNC","HIGH","ACTIVE"
"5","HPR-LEAK","PRESSURE","Hydraulic Pressure Leak","HPR","HIGH","ACTIVE"
"6","HPR-OVH","THERMAL","Hydraulic Overheating","HPR","HIGH","ACTIVE"
"7","HPR-ACT","MECHANICAL","Actuator Degradation","HPR","HIGH","ACTIVE"
"8","ROB-JNT","MECHANICAL","Robot Joint Degradation","ROB","HIGH","ACTIVE"
"9","ROB-MTR","THERMAL","Robot Motor Overheating","ROB","HIGH","ACTIVE"
"10","ROB-POS","CONTROL","Robot Position Deviation","ROB","HIGH","ACTIVE"
"11","CON-OVL","ELECTRICAL","Conveyor Motor Overload","CON","MEDIUM","ACTIVE"
"12","CON-BLT","MECHANICAL","Conveyor Belt Degradation","CON","MEDIUM","ACTIVE"
"13","CON-BLK","PROCESS","Conveyor Blockage","CON","HIGH","ACTIVE"
"14","CMP-BRG","MECHANICAL","Compressor Bearing Degradation","CMP","HIGH","ACTIVE"
"15","CMP-PRS","PRESSURE","Compressor Pressure Instability","CMP","HIGH","ACTIVE"
"16","CMP-OVH","THERMAL","Compressor Overheating","CMP","HIGH","ACTIVE"
"17","FRN-TMP","THERMAL","Furnace Temperature Instability","FRN","CRITICAL","ACTIVE"
"18","FRN-FLW","PROCESS","Furnace Fuel Flow Abnormality","FRN","HIGH","ACTIVE"
"19","FRN-PRS","PRESSURE","Furnace Pressure Abnormality","FRN","HIGH","ACTIVE"
"20","INS-CAL","CONTROL","Inspection Calibration Drift","INS","MEDIUM","ACTIVE"
"21","INS-COM","CONTROL","Inspection Equipment Communication Fault","INS","HIGH","ACTIVE"
"22","PKG-JAM","PROCESS","Packaging Jam","PKG","MEDIUM","ACTIVE"
"23","PKG-MTR","ELECTRICAL","Packaging Motor Fault","PKG","HIGH","ACTIVE"
"24","PAL-JNT","MECHANICAL","Palletizer Joint Degradation","PAL","HIGH","ACTIVE"
"25","PAL-MTR","THERMAL","Palletizer Motor Overheating","PAL","HIGH","ACTIVE"
