machine_model_sk,machine_model_code,machine_type_code,manufacturer_name,model_name,model_description,status,effective_from,effective_to,is_current
"1","CNC-M01","CNC","Vertex","VCN-500","CNC Vertical Machining Center","ACTIVE","2022-01-01","","true"
"2","CNC-M02","CNC","Vertex","VCN-800","CNC High-Speed Machining Center","ACTIVE","2022-01-01","","true"
"3","HPR-M01","HPR","HydraMax","HP-1200","Hydraulic Forming Press","ACTIVE","2022-01-01","","true"
"4","HPR-M02","HPR","HydraMax","HP-1800","Hydraulic Production Press","ACTIVE","2022-01-01","","true"
"5","ROB-M01","ROB","MechaMotion","MR-6A","Six-Axis Industrial Robot","ACTIVE","2022-01-01","","true"
"6","ROB-M02","ROB","MechaMotion","MR-12A","High-Payload Industrial Robot","ACTIVE","2022-01-01","","true"
"7","CON-M01","CON","MoveLine","CV-20","Modular Production Conveyor","ACTIVE","2022-01-01","","true"
"8","CON-M02","CON","MoveLine","CV-35","High-Speed Production Conveyor","ACTIVE","2022-01-01","","true"
"9","CMP-M01","CMP","AeroFlow","AF-75","Industrial Air Compressor","ACTIVE","2022-01-01","","true"
"10","CMP-M02","CMP","AeroFlow","AF-110","High-Capacity Air Compressor","ACTIVE","2022-01-01","","true"
"11","FRN-M01","FRN","ThermoForge","TF-900","Continuous Heat Treatment Furnace","ACTIVE","2022-01-01","","true"
"12","FRN-M02","FRN","ThermoForge","TF-1200","High-Temperature Process Furnace","ACTIVE","2022-01-01","","true"
"13","INS-M01","INS","QualiSense","QS-V1","Inline Vision Inspection Station","ACTIVE","2022-01-01","","true"
"14","INS-M02","INS","QualiSense","QS-M2","Precision Measurement Inspection Station","ACTIVE","2022-01-01","","true"
"15","PKG-M01","PKG","PackPro","PP-40","Automated Packaging Cell","ACTIVE","2022-01-01","","true"
"16","PKG-M02","PKG","PackPro","PP-60","High-Speed Packaging Cell","ACTIVE","2022-01-01","","true"
"17","PAL-M01","PAL","StackTech","ST-400","Robotic Palletizer","ACTIVE","2022-01-01","","true"
"18","PAL-M02","PAL","StackTech","ST-600","High-Payload Robotic Palletizer","ACTIVE","2022-01-01","","true"
