technician_sk,technician_id,technician_name,plant_id,plant_sk,specialization,skill_level,status,effective_from,effective_to,is_current
"1","TECH-20001","Chennai Technician 01","PLT-CHN-01","1","MECHANICAL","LEVEL_3","ACTIVE","2024-01-01","","true"
"2","TECH-20002","Chennai Technician 02","PLT-CHN-01","1","ELECTRICAL","LEVEL_4","ACTIVE","2024-01-01","","true"
"3","TECH-20003","Chennai Technician 03","PLT-CHN-01","1","CONTROLS","LEVEL_3","ACTIVE","2024-01-01","","true"
"4","TECH-20004","Chennai Technician 04","PLT-CHN-01","1","HYDRAULICS","LEVEL_4","ACTIVE","2024-01-01","","true"
"5","TECH-20005","Chennai Technician 05","PLT-CHN-01","1","INSTRUMENTATION","LEVEL_3","ACTIVE","2024-01-01","","true"
"6","TECH-20006","Chennai Technician 06","PLT-CHN-01","1","ROTATING_EQUIPMENT","LEVEL_5","ACTIVE","2024-01-01","","true"
"7","TECH-20007","Chennai Technician 07","PLT-CHN-01","1","THERMAL_SYSTEMS","LEVEL_4","ACTIVE","2024-01-01","","true"
"8","TECH-20008","Chennai Technician 08","PLT-CHN-01","1","MECHATRONICS","LEVEL_4","ACTIVE","2024-01-01","","true"
"9","TECH-20009","Chennai Technician 09","PLT-CHN-01","1","PREDICTIVE_MAINTENANCE","LEVEL_5","ACTIVE","2024-01-01","","true"
"10","TECH-20010","Chennai Technician 10","PLT-CHN-01","1","CALIBRATION","LEVEL_3","ACTIVE","2024-01-01","","true"
"11","TECH-20011","Chennai Technician 11","PLT-CHN-01","1","PACKAGING_SYSTEMS","LEVEL_3","ACTIVE","2024-01-01","","true"
"12","TECH-20012","Chennai Technician 12","PLT-CHN-01","1","RELIABILITY","LEVEL_5","ACTIVE","2024-01-01","","true"
"13","TECH-20013","Pune Technician 01","PLT-PUN-01","2","MECHANICAL","LEVEL_3","ACTIVE","2024-01-01","","true"
"14","TECH-20014","Pune Technician 02","PLT-PUN-01","2","ELECTRICAL","LEVEL_4","ACTIVE","2024-01-01","","true"
"15","TECH-20015","Pune Technician 03","PLT-PUN-01","2","CONTROLS","LEVEL_3","ACTIVE","2024-01-01","","true"
"16","TECH-20016","Pune Technician 04","PLT-PUN-01","2","HYDRAULICS","LEVEL_4","ACTIVE","2024-01-01","","true"
"17","TECH-20017","Pune Technician 05","PLT-PUN-01","2","INSTRUMENTATION","LEVEL_3","ACTIVE","2024-01-01","","true"
"18","TECH-20018","Pune Technician 06","PLT-PUN-01","2","ROTATING_EQUIPMENT","LEVEL_5","ACTIVE","2024-01-01","","true"
"19","TECH-20019","Pune Technician 07","PLT-PUN-01","2","THERMAL_SYSTEMS","LEVEL_4","ACTIVE","2024-01-01","","true"
"20","TECH-20020","Pune Technician 08","PLT-PUN-01","2","MECHATRONICS","LEVEL_4","ACTIVE","2024-01-01","","true"
"21","TECH-20021","Pune Technician 09","PLT-PUN-01","2","PREDICTIVE_MAINTENANCE","LEVEL_5","ACTIVE","2024-01-01","","true"
"22","TECH-20022","Pune Technician 10","PLT-PUN-01","2","CALIBRATION","LEVEL_3","ACTIVE","2024-01-01","","true"
"23","TECH-20023","Pune Technician 11","PLT-PUN-01","2","PACKAGING_SYSTEMS","LEVEL_3","ACTIVE","2024-01-01","","true"
"24","TECH-20024","Pune Technician 12","PLT-PUN-01","2","RELIABILITY","LEVEL_5","ACTIVE","2024-01-01","","true"
"25","TECH-20025","Coimbatore Technician 01","PLT-CBE-01","3","MECHANICAL","LEVEL_3","ACTIVE","2024-01-01","","true"
"26","TECH-20026","Coimbatore Technician 02","PLT-CBE-01","3","ELECTRICAL","LEVEL_4","ACTIVE","2024-01-01","","true"
"27","TECH-20027","Coimbatore Technician 03","PLT-CBE-01","3","CONTROLS","LEVEL_3","ACTIVE","2024-01-01","","true"
"28","TECH-20028","Coimbatore Technician 04","PLT-CBE-01","3","HYDRAULICS","LEVEL_4","ACTIVE","2024-01-01","","true"
"29","TECH-20029","Coimbatore Technician 05","PLT-CBE-01","3","INSTRUMENTATION","LEVEL_3","ACTIVE","2024-01-01","","true"
"30","TECH-20030","Coimbatore Technician 06","PLT-CBE-01","3","ROTATING_EQUIPMENT","LEVEL_5","ACTIVE","2024-01-01","","true"
"31","TECH-20031","Coimbatore Technician 07","PLT-CBE-01","3","THERMAL_SYSTEMS","LEVEL_4","ACTIVE","2024-01-01","","true"
"32","TECH-20032","Coimbatore Technician 08","PLT-CBE-01","3","MECHATRONICS","LEVEL_4","ACTIVE","2024-01-01","","true"
"33","TECH-20033","Coimbatore Technician 09","PLT-CBE-01","3","PREDICTIVE_MAINTENANCE","LEVEL_5","ACTIVE","2024-01-01","","true"
"34","TECH-20034","Coimbatore Technician 10","PLT-CBE-01","3","CALIBRATION","LEVEL_3","ACTIVE","2024-01-01","","true"
"35","TECH-20035","Coimbatore Technician 11","PLT-CBE-01","3","PACKAGING_SYSTEMS","LEVEL_3","ACTIVE","2024-01-01","","true"
"36","TECH-20036","Coimbatore Technician 12","PLT-CBE-01","3","RELIABILITY","LEVEL_5","ACTIVE","2024-01-01","","true"
