operator_sk,operator_id,operator_name,plant_id,plant_sk,team_code,skill_level,status,effective_from,effective_to,is_current
"1","OPR-10001","Chennai Operator 01","PLT-CHN-01","1","CHN-TEAM-1","LEVEL_2","ACTIVE","2025-01-01","","true"
"2","OPR-10002","Chennai Operator 02","PLT-CHN-01","1","CHN-TEAM-2","LEVEL_3","ACTIVE","2025-01-01","","true"
"3","OPR-10003","Chennai Operator 03","PLT-CHN-01","1","CHN-TEAM-3","LEVEL_4","ACTIVE","2025-01-01","","true"
"4","OPR-10004","Chennai Operator 04","PLT-CHN-01","1","CHN-TEAM-4","LEVEL_5","ACTIVE","2025-01-01","","true"
"5","OPR-10005","Chennai Operator 05","PLT-CHN-01","1","CHN-TEAM-1","LEVEL_1","ACTIVE","2025-01-01","","true"
"6","OPR-10006","Chennai Operator 06","PLT-CHN-01","1","CHN-TEAM-2","LEVEL_2","ACTIVE","2025-01-01","","true"
"7","OPR-10007","Chennai Operator 07","PLT-CHN-01","1","CHN-TEAM-3","LEVEL_3","ACTIVE","2025-01-01","","true"
"8","OPR-10008","Chennai Operator 08","PLT-CHN-01","1","CHN-TEAM-4","LEVEL_4","ACTIVE","2025-01-01","","true"
"9","OPR-10009","Chennai Operator 09","PLT-CHN-01","1","CHN-TEAM-1","LEVEL_5","ACTIVE","2025-01-01","","true"
"10","OPR-10010","Chennai Operator 10","PLT-CHN-01","1","CHN-TEAM-2","LEVEL_1","ACTIVE","2025-01-01","","true"
"11","OPR-10011","Chennai Operator 11","PLT-CHN-01","1","CHN-TEAM-3","LEVEL_2","ACTIVE","2025-01-01","","true"
"12","OPR-10012","Chennai Operator 12","PLT-CHN-01","1","CHN-TEAM-4","LEVEL_3","ACTIVE","2025-01-01","","true"
"13","OPR-10013","Chennai Operator 13","PLT-CHN-01","1","CHN-TEAM-1","LEVEL_4","ACTIVE","2025-01-01","","true"
"14","OPR-10014","Chennai Operator 14","PLT-CHN-01","1","CHN-TEAM-2","LEVEL_5","ACTIVE","2025-01-01","","true"
"15","OPR-10015","Chennai Operator 15","PLT-CHN-01","1","CHN-TEAM-3","LEVEL_1","ACTIVE","2025-01-01","","true"
"16","OPR-10016","Chennai Operator 16","PLT-CHN-01","1","CHN-TEAM-4","LEVEL_2","ACTIVE","2025-01-01","","true"
"17","OPR-10017","Chennai Operator 17","PLT-CHN-01","1","CHN-TEAM-1","LEVEL_3","ACTIVE","2025-01-01","","true"
"18","OPR-10018","Chennai Operator 18","PLT-CHN-01","1","CHN-TEAM-2","LEVEL_4","ACTIVE","2025-01-01","","true"
"19","OPR-10019","Chennai Operator 19","PLT-CHN-01","1","CHN-TEAM-3","LEVEL_5","ACTIVE","2025-01-01","","true"
